Exercise_Name,Description_URL,Exercise_Image,Exercise_Image1,muscle_gp_details,muscle_gp,equipment_details,Equipment,Rating,Description
Barbell upright row,https://www.bodybuilding.com/exercises/upright-barbell-row,,,https://www.bodybuilding.com/exercises/muscle/shoulders,Shoulders,https://www.bodybuilding.com/exercises/equipment/barbell,Barbell,8.3,Average
Superman,https://www.bodybuilding.com/exercises/superman,,,https://www.bodybuilding.com/exercises/muscle/lower-back,Lower Back,https://www.bodybuilding.com/exercises/equipment/body-only,Body Only,8.3,Average
Straight-Arm Pulldown,https://www.bodybuilding.com/exercises/straight-arm-pulldown,https://www.bodybuilding.com/images/2020/xdb/cropped/2019-xdb-104c-straight-arm-bar-pull-down-m1-600x600.jpg,https://www.bodybuilding.com/images/2020/xdb/cropped/2019-xdb-104c-straight-arm-bar-pull-down-m2-600x600.jpg,https://www.bodybuilding.com/exercises/muscle/lats,Lats,https://www.bodybuilding.com/exercises/equipment/cable,Cable,8.3,Average
Barbell stiff-legged deadlift,https://www.bodybuilding.com/exercises/stiff-legged-barbell-deadlift,,,https://www.bodybuilding.com/exercises/muscle/hamstrings,Hamstrings,https://www.bodybuilding.com/exercises/equipment/barbell,Barbell,8.3,Average
Standing One-Arm Dumbbell Triceps Extension,https://www.bodybuilding.com/exercises/standing-one-arm-dumbbell-triceps-extension,,,https://www.bodybuilding.com/exercises/muscle/triceps,Triceps,https://www.bodybuilding.com/exercises/finder,Dumbbells,8.3,Average
Smith machine bench press,https://www.bodybuilding.com/exercises/smith-machine-bench-press,,,https://www.bodybuilding.com/exercises/muscle/chest,Chest,https://www.bodybuilding.com/exercises/equipment/machine,Machine,8.3,Average
Seated Side Lateral Raise,https://www.bodybuilding.com/exercises/seated-side-lateral-raise,,,https://www.bodybuilding.com/exercises/muscle/shoulders,Shoulders,https://www.bodybuilding.com/exercises/equipment/dumbbell,Dumbbell,8.3,Average
Dumbbell Lying Rear Lateral Raise,https://www.bodybuilding.com/exercises/dumbbell-lying-rear-lateral-raise,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-13n-incline-dumbbell-reverse-fly-m1-square-600x600.jpg,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-13n-incline-dumbbell-reverse-fly-m2-square-600x600.jpg,https://www.bodybuilding.com/exercises/muscle/shoulders,Shoulders,https://www.bodybuilding.com/exercises/equipment/dumbbell,Dumbbell,8.3,Average
Dumbbell preacher curl,https://www.bodybuilding.com/exercises/two-arm-dumbbell-preacher-curl,,,https://www.bodybuilding.com/exercises/muscle/biceps,Biceps,https://www.bodybuilding.com/exercises/equipment/dumbbell,Dumbbell,8.3,Average
Front Raise And Pullover,https://www.bodybuilding.com/exercises/front-raise-and-pullover,,,https://www.bodybuilding.com/exercises/muscle/chest,Chest,https://www.bodybuilding.com/exercises/equipment/barbell,Barbell,8.3,Average
Dumbbell seated box jump,https://www.bodybuilding.com/exercises/dumbbell-seated-box-jump,,,https://www.bodybuilding.com/exercises/muscle/quadriceps,Quadriceps,https://www.bodybuilding.com/exercises/equipment/dumbbell,Dumbbell,8.3,Average
Middle Back Shrug,https://www.bodybuilding.com/exercises/middle-back-shrug,,,https://www.bodybuilding.com/exercises/muscle/middle-back,Middle Back,https://www.bodybuilding.com/exercises/equipment/dumbbell,Dumbbell,8.3,Average
Incline face-down bar front raise,https://www.bodybuilding.com/exercises/straight-raises-on-incline-bench,,,https://www.bodybuilding.com/exercises/muscle/shoulders,Shoulders,https://www.bodybuilding.com/exercises/equipment/ez-curl-bar,E-Z Curl Bar,8.3,Average
Butt-Ups,https://www.bodybuilding.com/exercises/butt-ups,,,https://www.bodybuilding.com/exercises/muscle/abdominals,Abdominals,https://www.bodybuilding.com/exercises/equipment/body-only,Body Only,8.3,Average
Band Good Morning (Pull Through),https://www.bodybuilding.com/exercises/band-good-morning-pull-through,,,https://www.bodybuilding.com/exercises/muscle/hamstrings,Hamstrings,https://www.bodybuilding.com/exercises/equipment/bands,Bands,8.3,Average
